DisplayName,CreatedDateTime,AccountEnabled,AppRoleAssignmentRequired,TagList,ReplyUrls,ServicePrincipalType,Id
Microsoft Flow Service,2021-12-09T17:22:38Z,TRUE,FALSE,,"https://flow.microsoft.com,https://tip1.flow.microsoft.com,https://tip2.flow.microsoft.com",Application,52d9e184-0821-457e-8823-e60be3df1d60
Microsoft Stream Portal,2021-12-09T17:22:38Z,FALSE,FALSE,,"https://ppe.microsoftstream.com/authredirectmsal/,https://msit.microsoftstream.com/authredirectmsal/,https://wood4.microsoftstream.com/authredirectmsal/,https://www.microsoftstream.com/authredirectmsal/,https://wood4.gov.microsoftstream.us/,https://wood4.dod.microsoftstream.us/,https://www.microsoftstream.com,https://wood4.microsoftstream.com/,https://msit.microsoftstream.com/,https://ppe.microsoftstream.com/",Application,cdfee9ed-454a-41c9-8f13-98f29b04de10
Microsoft Teams IP Policy Service,2021-12-09T17:22:37Z,TRUE,FALSE,,,Application,c691a199-82c6-4a1c-83b0-953c348434b6
Microsoft Office Licensing Service,2018-01-13T19:09:13Z,TRUE,FALSE,,,Application,6482295a-2fba-497c-8922-be08adb6fc66
Microsoft SharePoint Online - SharePoint Home,2018-01-13T19:09:13Z,TRUE,FALSE,,,Application,7be8ddb3-84e2-4184-8216-fcd2c97ba00a
Office Shredding Service,2018-01-13T19:09:13Z,TRUE,FALSE,,"urn:ietf:wg:oauth:2.0:oob,https://shredder-peterson.osi.office.net,https://shredder.osi.office.net",Application,8d06b698-8528-4c3f-817e-54c138a341b3
Power BI Premium,2018-01-13T19:09:13Z,TRUE,FALSE,,https://redirect.pbidedicated.windows.net,Application,2cecb000-8ca6-4e1a-8a46-52f90cb4d988
Skype for Business Online,2018-01-13T19:09:13Z,FALSE,FALSE,,"https://bootstrap.pinauth.services.skypeforbusiness.com/cap/provision,https://portal.pinauth.services.skypeforbusiness.com/cap/provision,https://bootstrap.pinauth.services.skypeforbusiness.com/,https://portal.pinauth.services.skypeforbusiness.com/",Application,c25da412-7acd-4587-8cea-afed4c67f0b2
Power BI Service,2018-01-13T19:09:12Z,TRUE,FALSE,,,Application,933acf51-bd1f-453e-8bc7-8a8023bcaeb5
Microsoft Intune Enrollment,2018-01-13T19:09:12Z,TRUE,FALSE,,"https://hall.manage-mig.microsoft.com/,https://hall.manage-mig.microsoft.com,https://enterpriseenrollment-s.manage-mig.microsoft.com/,https://enterpriseenrollment-s.manage-mig.microsoft.com,https://hall.manage.microsoft.us/,https://hall.manage.microsoft.us,https://hall.manage-ppe.microsoft.us/,https://hall.manage-ppe.microsoft.us,https://hall.manage-test.microsoft.us/,https://hall.manage-test.microsoft.us,https://enterpriseenrollment-s.manage.microsoft.us/,https://enterpriseenrollment-s.manage.microsoft.us,https://enterpriseenrollment-s.manage-ppe.microsoft.us/,https://enterpriseenrollment-s.manage-ppe.microsoft.us,https://enterpriseenrollment-s.manage-test.microsoft.us/,https://enterpriseenrollment-s.manage-test.microsoft.us,https://hall.manage-selfhost.microsoft.com/,https://hall.manage-selfhost.microsoft.com,https://hall.manage-beta.microsoft.com/,https://hall.manage-beta.microsoft.com,https://hall.manage.microsoft.com/,https://hall.manage.microsoft.com,https://enterpriseenrollment-s.manage-selfhost.microsoft.com/,https://enterpriseenrollment-s.manage-selfhost.microsoft.com,https://enterpriseenrollment-s.manage-beta.microsoft.com/,https://enterpriseenrollment-s.manage-beta.microsoft.com,https://enterpriseenrollment-s.manage.microsoft.com/,https://enterpriseenrollment-s.manage.microsoft.com",Application,8abd29da-8c22-4175-8af3-1e80d1d972ea
Microsoft Intune Service Discovery,2018-01-13T19:09:12Z,TRUE,FALSE,,,Application,9122d98f-ca1b-4ae5-8a8b-b74697728aac
Microsoft Seller Dashboard,2018-01-13T19:09:12Z,TRUE,FALSE,,https://sellerdashboard.microsoft.com/Keys/KeyAADPublish/CreateKeyInAADCallback,Application,82eb8079-a528-4507-8ef1-0164298acdda
Azure Analysis Services,2018-01-13T19:09:12Z,TRUE,FALSE,,https://redirect.asazure.windows.net,Application,a3ced531-c159-4d67-828f-2f6696b2ee45
SharePoint Notification Service,2018-01-13T19:09:12Z,TRUE,FALSE,,,Application,a421cf22-57bc-4ef6-8e9d-4a8b9a9cefdf
Microsoft Azure Workflow,2018-01-13T19:09:12Z,TRUE,FALSE,,,Application,64a16929-e1b4-4987-8e7d-ad8c08d6fabe
Office 365 SharePoint Online,2018-01-13T19:09:12Z,TRUE,FALSE,"disableAcceptingTenantedPassthroughTokens,disableRequestingTenantedPassthroughTokens","https://onedrive.cloud.microsoft/_forms/default.aspx,https://proseware-*.sharepoint.com/_forms/default.aspx,https://proseware.sharepoint.com/_forms/default.aspx",Application,e1ebca8f-c495-4df0-802a-ba3d93885a0a
Connectors,2018-01-13T19:09:11Z,TRUE,FALSE,,"https://outlook-sdf.office.com/mail/spaExtSSO.html,https://outlook.office365.com/mail/spaExtSSO.html,https://outlook.office.com/mail/spaExtSSO.html,https://outlook.cloud.microsoft/mail/spaExtSSO.html,https://sdf.outlook.cloud.microsoft/mail/spaExtSSO.html,ms-appx-wood4://Microsoft.AAD.BrokerPlugin/08c3fe57-5420-45a2-840b-fa9c2e3f4dc4,https://login.microsoftonline.com/common/oauth2/nativeclient,https://outlook.office.com/kathleen/signin-baker2,https://outlook.office.com/kathleen/signin-yammer-baker2,https://outlook.office.com/kathleen/signin-dynamics-baker2,https://outlook.office365.com/kathleen/signin-baker2,https://outlook.office.com/kathleen/signin-forms-baker2,https://outlook.office.com/kathleen/signin-opaypartnerportal-baker2,https://outlook.office.com/kathleen/signin-opaypartnerportal-aad,https://outlook.office.com/kathleen/signin-forms-aad,https://outlook.office365.com/kathleen/signin-aad,https://outlookconnmgmt042015.azurewebsites.net/signin-aad,https://outlook.office.com/kathleen/signin-aad,https://outlook.office.com/kathleen/signin-dynamics-aad,https://outlook.office.com/kathleen/signin-yammer-aad",Application,f3173395-17cc-4117-8100-c11d702f1db7
Microsoft Service Trust,2018-01-13T19:09:11Z,TRUE,FALSE,,"https://int.complianceposturemanagement.office.com,https://ppe.complianceposturemanagement.office.com,https://apc.complianceposturemanagement.office.com,https://eur.complianceposturemanagement.office.com,https://nam.complianceposturemanagement.office.com,https://are.complianceposturemanagement.office.com,https://aus.complianceposturemanagement.office.com,https://bra.complianceposturemanagement.office.com,https://can.complianceposturemanagement.office.com,https://che.complianceposturemanagement.office.com,https://fra.complianceposturemanagement.office.com,https://gbr.complianceposturemanagement.office.com,https://ind.complianceposturemanagement.office.com,https://jpn.complianceposturemanagement.office.com,https://kor.complianceposturemanagement.office.com,https://lam.complianceposturemanagement.office.com,https://nor.complianceposturemanagement.office.com,https://pol.complianceposturemanagement.office.com,https://sgp.complianceposturemanagement.office.com,https://swe.complianceposturemanagement.office.com,https://zaf.complianceposturemanagement.office.com,https://ita.complianceposturemanagement.office.com,https://deu.complianceposturemanagement.office.com,https://isr.complianceposturemanagement.office.com,https://gccm.complianceposturemanagement.office365.us,https://cmapi-ppe-eastus.azurewebsites.net,https://atm.cmapi.ppe.trafficmanager.net,https://sharon.stp.microsoft.com,https://sharon.stp.officeppe.com,https://stp-sharon-appservice-eastus-ppe.azurewebsites.net,https://stp-sharon-appservice-westus-ppe.azurewebsites.net,https://stp-sharon-appservice-eastus-prod.azurewebsites.net,https://stp-sharon-appservice-westus-prod.azurewebsites.net,https://sharon.servicetrust.microsoft.com/sharon/login,https://sharon.servicetrust.officeppe.com/sharon/login,https://stp-webapi-cld-gcch-virginia.usgovcloudapp.net,https://sharon.servicetrust.microsoft.us,https://stp-webapi-cld-peterson-virginia.usgovcloudapp.net,https://sharon.servicetrust-peterson.microsoft.us,https://stp-webapi-ppe4-eastus.azurewebsites.net,https://servicetrust.office-int.com:44321,https://stp-webapp-prd-na1-slot1.azurewebsites.net,https://stp-webapp-ppe-na1-slot1.azurewebsites.net,https://stp-webapp-int-na1-slot1.azurewebsites.net,https://servicetrust.office-int.com,https://servicetrust.officeppe.com,https://servicetrust.microsoft.com,https://stp-webapi-prd2-eastus.azurewebsites.net,https://stp-webui-prd2-eastus.azurewebsites.net,https://stp-webapi-prd3-eastus.azurewebsites.net,https://stp-webui-prd3-eastus.azurewebsites.net,https://stp-webapi-ppe2-eastus.azurewebsites.net,https://stp-webui-ppe2-eastus.azurewebsites.net,https://stp-webapi-ppe3-eastus.azurewebsites.net,https://stp-webui-ppe3-eastus.azurewebsites.net,https://stp-webapi-ppe6-eastus.azurewebsites.net,https://stp-webui-ppe6-eastus.azurewebsites.net,https://stp-webui-prd2-eastus-webuislot1.azurewebsites.net,https://stp-webapi-ppe99-eastus.azurewebsites.net,https://stp-webapi-cld-prod4-southeastasia.cloudapp.net,https://stp-webapi-cld-prod4-westeurope.cloudapp.net,https://stp-webapi-cld-prod4-eastus.cloudapp.net,https://stp-webapi-cld-prod3-southeastasia.cloudapp.net,https://stp-webapi-cld-prod3-westeurope.cloudapp.net,https://stp-webapi-cld-prod3-eastus.cloudapp.net,https://stp-webapi-cld-ppe3-l-southeastasia.cloudapp.net,https://stp-webapi-cld-ppe3-l-westeurope.cloudapp.net,https://stp-webapi-cld-ppe3-l-eastus.cloudapp.net,https://sharon.servicetrust.microsoft.com,https://sharon.servicetrust.officeppe.com",Application,b70f1c86-0633-4968-8843-a2f4cf25c184
Microsoft People Cards Service,2018-01-13T19:09:11Z,TRUE,FALSE,,"https://peterson.loki.moore.office.com/,https://nam.loki.moore.office.com/linkedInAuthRedirect.aspx,https://df.loki.moore.office.com/linkedInAuthRedirect.aspx,https://msit.loki.moore.office.com/linkedInAuthRedirect.aspx,https://loki.moore.office.com/,https://eur.loki.moore.office.com/linkedInAuthRedirect.aspx,https://apc.loki.moore.office.com/linkedInAuthRedirect.aspx,https://lam.loki.moore.office.com/linkedInAuthRedirect.aspx,https://loki.moore.office.com/linkedinauthredirect.aspx,https://sfdf.loki.moore.office.com/",Application,88cc82e4-d023-4f83-8360-dc77df6e87b7
Microsoft Intune,2018-01-13T19:09:11Z,TRUE,FALSE,,"https://manage-mig.microsoft.com,https://portal.manage-mig.microsoft.com/WebCP/signin-baker2,https://sts.manage.microsoft.us/SignIn,https://sts.manage-ppe.microsoft.us/SignIn,https://sts.manage.microsoft.com/SignIn,https://sts.manage-beta.microsoft.com/SignIn,https://portal.manage-beta.microsoft.com/WebCP/signin-baker2,https://portal.manage.microsoft.com/WebCP/signin-baker2,https://portal.manage-ppe.microsoft.us/WebCP/signin-baker2,https://portal.manage.microsoft.us/WebCP/signin-baker2,https://sts.manage-selfhost.microsoft.com/SignIn,https://portal.manage-selfhost.microsoft.com/WebCP/signin-baker2,https://sts.manage-dogfood.manage.microsoft.com/Signin,https://manage-selfhost.microsoft.com,https://manage.microsoft.us,https://manage-ppe.microsoft.us,https://manage.microsoft.com,https://manage-beta.microsoft.com",Application,2dc1a674-482f-43de-8e6b-7f8d5d0e1a42
Microsoft Intune API,2018-01-13T19:09:11Z,TRUE,FALSE,,,Application,bfdb9145-c927-4dba-8cdf-bc74c0e80e5b
Azure Classic Portal,2018-01-13T19:08:58Z,TRUE,FALSE,,"https://2.portal.azure.com/,https://manage.windowsazure.com/,https://portal.windowsazure.com/,https://1.portal.azure.com/,https://dev.azure-test.net/,https://portal.azure.com/,https://onecloud.local/,https://manage.windowsazure.com,https://portal.windowsazure.com",Application,336d3d7d-f09a-4fe6-8adc-7e94f988da07
